	Fecha	Día de la Semana	Uds.V	Base	Impuestos	Neto	Venta/Uds	Docs	Venta/Doc
152	02/04/2025	3	105	19,802.08	3,168.32	22,970.4	218.76571429	19	1,208.96842105
153	01/04/2025	2	114	20,703.46	3,312.54	24,016	210.66666667	19	1,264
154	31/03/2025	1	123	12,262.44	1,961.96	14,224.4	115.64552846	19	748.65263158
155	30/03/2025	7	429	50,026.01	8,004.15	58,030.16	135.26843823	89	652.02426966
156	29/03/2025	6	668	60,317.67	9,650.83	69,968.5	104.74326347	111	630.34684685
157	28/03/2025	5	625	66,879.97	10,700.83	77,580.8	124.12928	108	718.34074074
158	27/03/2025	4	255	39,837.07	6,373.93	46,211	181.21960784	38	1,216.07894737
159	26/03/2025	3	249	53,808.63	8,609.37	62,418	250.6746988	42	1,486.14285714
160	25/03/2025	2	88	13,264.23	2,122.27	15,386.5	174.84659091	15	1,025.76666667
161	24/03/2025	1	68	8,943.13	1,430.87	10,374	152.55882353	16	648.375
162	23/03/2025	7	769	110,531.49	17,685.01	128,216.5	166.73146944	123	1,042.41056911
163	22/03/2025	6	761	72,673.29	11,627.71	84,301	110.77660972	43	1,960.48837209
164	21/03/2025	5	378	44,471.72	7,115.48	51,587.2	136.47407407	53	973.34339623
165	20/03/2025	4	159	18,652.41	2,984.39	21,636.8	136.08050314	32	676.15
166	19/03/2025	3	130	17,147.4	2,743.6	19,891	153.00769231	19	1,046.89473684
167	18/03/2025	2	93	14,752.4	2,360.4	17,112.8	184.00860215	15	1,140.85333333
168	17/03/2025	1	537	71,343.06	11,414.94	82,758	154.11173184	98	844.46938776
169	16/03/2025	7	582	98,402.6	15,744.4	114,147	196.12886598	102	1,119.08823529
170	15/03/2025	6	533	65,965.3	10,554.4	76,519.7	143.5641651	98	780.81326531
171	14/03/2025	5	250	35,949.67	5,751.93	41,701.6	166.8064	48	868.78333333
172	13/03/2025	4	146	20,618.1	3,298.9	23,917	163.81506849	31	771.51612903
173	12/03/2025	3	165	21,990.7	3,518.5	25,509.2	154.60121212	29	879.62758621
174	11/03/2025	2	93	10,206.49	1,633.01	11,839.5	127.30645161	17	696.44117647
175	10/03/2025	1	140	23,485.32	3,757.68	27,243	194.59285714	27	1,009
176	09/03/2025	7	476	60,571.06	9,691.34	70,262.4	147.61008403	94	747.47234043
177	08/03/2025	6	776	76,615.52	12,258.48	88,874	114.52835052	107	830.59813084
178	07/03/2025	5	514	77,496.26	12,399.34	89,895.6	174.89416342	83	1,083.07951807
179	06/03/2025	4	160	25,821.8	4,131.5	29,953.3	187.208125	16	1,872.08125
180	05/03/2025	3	102	33,440.53	5,350.47	38,791	380.30392157	18	2,155.05555556
181	04/03/2025	2	73	26,933.65	4,309.35	31,243	427.98630137	22	1,420.13636364
182	03/03/2025	1	150	72,130.2	11,540.8	83,671	557.80666667	24	3,486.29166667
183	02/03/2025	7	470	48,757.33	7,801.17	56,558.5	120.33723404	83	681.42771084
184	01/03/2025	6	442	41,821.91	6,691.49	48,513.4	109.75882353	85	570.74588235
185	28/02/2025	5	443	52,776.55	8,444.25	61,220.8	138.19593679	84	728.81904762
186	27/02/2025	4	302	72,940.71	11,670.49	84,611.2	280.16953642	16	5,288.2
187	26/02/2025	3	329	22,961.24	3,673.76	26,635	80.95744681	67	397.53731343
